Tweet;Negativo;Neutro;Positivo;Considerado
"Faça como o Richarlison marque um gol, apoiando o Quilombo Vidal Martins. 
Precisamos de ajuda financeira para o combustível das roçadeiras.
Contamos com sua ajuda!

Chave PIX CPF 049829779-92 

Bora BRASIL rumo ao Hexa! #BrasilNaCopa Somos todos Lula!
@Maufalavigna @zehdeabreu https://t.co/0WveN8oTgl";0.09683157;0.5341554;0.369013;NEUTRO
"Obrigada Deus por ter visao e ter visto essa perfeircao #Richarlison 
#CopaDoMundo2022 #BrasilNaCopa #Brasil https://t.co/dXV1hUzCbx";0.021487147;0.11363847;0.8648744;POSITIVO
"😍 Olha! #BlackFridayAmazon 
Esteira Eletrônica Dream Fitness DR 2110 BIVOLT, Preto https://t.co/n248ws2rhQ #Brazil #BrasilNaCopa";0.016986689;0.76901513;0.2139982;NEUTRO
"Copa krl

Nothing better than mom and daughter enjoy together 🇧🇷🤚✨

#Brasil #BrasilNaCopa #artwork #digitalart  #stormthelcat #dalythecockatoo https://t.co/b5oC8kPzxT";0.03978135;0.19352306;0.76669556;POSITIVO
Esperando as suas encomendas para os próximos jogos da seleção brasileira, vários recheio, WhatsApp 47 992547778. #cassafood #AnaMariaBraga #MaisVoce #cassafood #EDeCasa #BrasilNaCopa #CopaDoMundo2022 https://t.co/Wvpkd9Ukzm;0.016909767;0.890843;0.09224719;NEUTRO
"Já tá sabendo?!
Todo jogo do Brasil tem pré e pós jogo aqui na Eldorado!

Pré:
30 min antes do jogo

Pós:
Logo depois da partida

#CopaDoMundo2022 #rádio #eldorado #jogo #futebol #CopaDoMundo #BrasilNaCopa";0.027818365;0.9073028;0.064878814;NEUTRO
Vai #Brazil #BrasilNaCopa 🇧🇷🇧🇷🇧🇷🇧🇷💛💚💛💚💛💚 https://t.co/Q870W2WEeh;0.063226126;0.67315745;0.2636164;NEUTRO
#Brasil #BrasilUrgente #BrasilSerbia #BrasilNaCopa #Brasileirão https://t.co/xUeZaxqlbO;0.12985039;0.7765044;0.09364521;NEUTRO
"https://t.co/gg7bQAU19z 
Me segue lá no tiktok rapaziada! Tmj 💪🏿 
.
#Brazil #Brasil #BrasilNaCopa #TikTok #tiktokhot #TwitterDown #Twitter #WorldcupQatar2022 #Qatar2022 #PINTOAWARD #PEITOSAWARDS #PINTOSAWARD #PINTOAWARD";0.07648023;0.6669838;0.256536;NEUTRO
"Bom dia, pra quem acordou mais empolgado do que nunca com a seleção.

#SelecaoBrasileira #copa #CopaDoMundo2022 #BrasilNaCopa #CopaDoMundoFIFA #Brazil #brasil https://t.co/p4hiqyETMK";0.04970413;0.406189;0.54410684;POSITIVO
"Por favor, parem de confundir
#BrasilNaCopa #Hexabrasil https://t.co/V8YLvSQ19u";0.60136974;0.3607048;0.037925452;NEGATIVO
"@tvglobo Mood do dia: pruuuu 😂💚🇧🇷 #GloboNaCopa

📸: @renatasilveirag 

#tvglobo #brunodiaspará  #BrasilNaCopa https://t.co/xZYoLrHjF1";0.08601756;0.50956154;0.4044209;NEUTRO
Richarlison passando pra dar bom dia pra nós ☀️ #BrasilNaCopa https://t.co/NpS3G68JZs;0.026552755;0.3062537;0.66719353;POSITIVO
"#QatarWorldCup2022
#CopaDoMundoFIFA
#FIFAWorldCup
#BrasilNaCopa
#QatarWorldCup2022
#CopaDoMundoFIFA
#FIFAWorldCup
#BrasilNaCopa #QatarWorldCup2022
#CopaDoMundoFIFA
#FIFAWorldCup
#BrasilNaCopa
https://t.co/Ebem1p1GRB #wibx #WiBOOIndication";0.090027384;0.8066732;0.1032994;NEUTRO
https://t.co/nxuoWkQxS8 #FIFAWorldCup #FIFAWorldCup2022 #Brazil #BrasilNaCopa #Tunisia;0.07289145;0.87338895;0.05371961;NEUTRO
"Pessoal, a Wibx está com uma promoção incrível nessa copa, vão lá conferi, da pra ganhar uma boa grana!!👇👇👇👇
https://t.co/JoQXkldjW4 #wibx #WiBOOIndication #CopaDoMundo2022 #neymarjr #Neymar #BrasilNaCopa #Brasil";0.021272777;0.1350452;0.84368205;POSITIVO
"@LulaOficial vc é aclamado e conhecido mundialmente. Que feito heim?
@espn @360NewsNow @FRANCE24 @BloombergUK @Corriere @FoxNews @standard @SZ @WSJ @ @nytimes @BILD @el_pais
#BrazilWasStolem  #BrasilNaCopa #FIFAWorldCup #Brazil #BrasilNasRuas https://t.co/ayXHMCGmkP";0.15364909;0.56938463;0.27696627;NEUTRO
Sobre o Neymar: não vou torcer contra, mas temos que admitir que ele foi infantil em discutir com pessoas da Internet por causa de política. Não é papel de um líder. Também fiquei feliz com a vitória porque mostra que não dependemos dele. Temos um bom jogo coletivo. #BrasilNaCopa;0.09785098;0.1767026;0.7254464;POSITIVO
"🛑🛑Oferta relâmpago e já está acabando!!!🛑🛑
Entrega grátis e para o  dia 1 de deZembro. 
https://t.co/NvdOlYkSEd
Kindle #kindle #BlackFridayAmazon #BlackFriday #Richarlison #Neymar Vini Jr Choquei Sandy PRU PRU Pombo Brasil Raphinha Uruguai Antony #BrasilNaCopa";0.25971335;0.5407063;0.19958037;NEUTRO
"Autor de golaço, Richarlison recorda drama pré-Copa: ‘Deus viu meu esforço’.

By @diariodegoias

👉 https://t.co/uhekamu1Ov

#CopadoMundo #Copa2022 #SeleçãoBrasileira #Esportes
#brasil #copadocatar #copa2022 #copadoqatar #lula #brasilnacopa #Richarlison https://t.co/6Hd2b91CbL";0.21319817;0.46032473;0.3264771;NEUTRO
Em clima de copa por aqui! #CopaDoMundo2022 #FIFAWorldCup #BrasilNaCopa #Brasil #WorldcupQatar2022 #CopaDoMundo https://t.co/dEPS17vHaO;0.07847324;0.6919993;0.22952753;NEUTRO
"@oiIuiz @tuliogadelha Pagar os impostos em dia pra essa turma é a parte mais importante! Como vão roubar sem os impostos dos manés?! 🤡
#BrasilNasRuas 
#BrasilFoiRoubado 
#BrasilNaCopa";0.7751033;0.1915205;0.0333762;NEGATIVO
"24/11/2022 - A estreia na Copa

04/11/2017 - A estreia com o #MantoSagrado

Da Vila Belmiro pro mundo. O Rayo segue escrevendo a sua história! ⚡

#SantosDoMundo #BrasilNaCopa 🇧🇷 https://t.co/SOGtCSbmIN";0.013024721;0.47792843;0.50904685;POSITIVO
Vocês que torcem contra a seleção brasileira. Espero que vão todos pro inferno raça de desgraçados #BrasilNaCopa #CopaDoMundo2022 #FIFAWorldCup #Brazil #WorldcupQatar2022 #RUMOAOHEXA #Qatar2022 #BRASER #BRASRB;0.9286451;0.058643263;0.012711728;NEGATIVO
"O #BrasilNaCopa começou com tudo. Mostrando para eles qual é o país do futebol. Muito orgulho do nosso time! 

Rumo ao hexa!💚💛💙";0.023478823;0.07843262;0.8980886;POSITIVO
"@neymarjr você jogou muito! Notório o quando você tava calmo. Mesmo sabendo que sempre estava lhe atacando! A justiça de Deus vêm. Fica firme
#Neymar #BrasilNaCopa";0.050139148;0.1741945;0.77566636;POSITIVO
"Brasil jogou bem e venceu, mas isso não o torna mais favorito. Os comentários pós-jogo, me lembrou do Pacheco:  https://t.co/W5rKlpMaf9 
#BrasilNaCopa 
#BrazilvsSerbia 
#CopaDoMundo2022";0.39093918;0.5382848;0.07077604;NEUTRO
A mídia planta desinformação para colher desunião.#JairBolsonaroEUAUTORIZO #BrasilNaCopa #BrasilNasRuas #BrazilWasStolem https://t.co/aPW3wdwk6A;0.45935586;0.4452549;0.09538929;NEGATIVO
Foi bonito demais...#copa2022 #BrasilNaCopa https://t.co/6Q1Xx35yfS;0.027325353;0.10115325;0.8715214;POSITIVO
"Parabéns ao Brasil 🇧🇷 grande vitória ontem em cima dos sérvios ! 
Ao 🕊 @richarlison97 uma pintura o gol ⚽️ 

#rumoaohexa #hexa #brasil #BrasilNaCopa #BrasileSerbia #Catar2022";0.044053588;0.097573556;0.8583728;POSITIVO
Será que Marte vai aceitar esses fanático?😂😂😂😂#marte #ForaBolsonaro  #humor #BrasilNaCopa https://t.co/RNm4MxRD66;0.2172783;0.605224;0.17749776;NEUTRO
https://t.co/lfIdCdGYu9 #wibx #WiBOOIndication #BrasilNaCopa;0.031224797;0.9321644;0.036610793;NEUTRO
"E ontem no jogo do brasil estávamos como? Tite manjando dos paranauês

@CBF_Futebol 
#CopaDoMundo2022 #BrasilNaCopa https://t.co/4VG8o8bBMn";0.20565832;0.7276619;0.06667976;NEUTRO
#Richarlison #GolMundial #RUMOAOHEXA #BrasilNaCopa #Brazil #Qatar2022;0.08310387;0.78148794;0.13540822;NEUTRO
O Brasil hoje acordou como? #CopaDoMundo2022 #Richarlison #QatarWorldCup2022 #BrasilNaCopa #stories #designer #socialmedia #Marketing https://t.co/pen0AnIrQn;0.11103812;0.81320375;0.07575823;NEUTRO
"Vamos em busca desse hexa Brasiiilllll 🇧🇷💛🧡

#CopaDoMundo2022 #BrasilNaCopa #Brasil #tiokleyton #JogodoBrasil #FIFAWorldCup #FIFAWorldCup2022 https://t.co/8ycsCVz2wG";0.04674706;0.5167843;0.43646866;NEUTRO
"https://t.co/gF2ILZl6i8
Menino Ney
Povo Brasileiro
Satanás
Faz o 22
Gabigol
Vini Jr
Pombo
Cristiano Ronaldo
Bruna Marquezine
#WorldcupQatar2022 #QatarWorldCup2022 
#BrasilNaCopa #Neymar #CopaDoMundo2022 #FIFAWorldCup https://t.co/C87KrutFpX";0.24823426;0.62059844;0.13116732;NEUTRO
"Até 70% de desconto + frete grátis na Lezalez com cupom: UNEZ9AE19LZ

Segue no face e insta: Achadinhos da Karina 

#Brasil #BrasilNaCopa #BlackFriday #BlackFridayBrasil #CopaDoMundo2022 #AFazenda #Travessia #compraonline / Black Friday https://t.co/9JXj3YY1F6";0.023363644;0.77772087;0.19891538;NEUTRO
"Rumo a hexa 🇧🇷💚

#Brazil #BrasilNaCopa #LGBT #LGBTQ #FIFAWorldCup #WorldcupQatar2022 #Qatar2022 https://t.co/Qz0zxWGErG";0.047409855;0.6911704;0.26141974;NEUTRO
"🛑Olha a BLACK FRIDAY na AMAZON aí, genteee🛑😱
25% Off
https://t.co/9dfXhguseR

#BlackFridayAmazon #BlackFriday #BrasilNaCopa #FIFAWorldCup Bora BRASIL Hexa Cristiano Ronaldo Frota";0.041276004;0.7290341;0.22968988;NEUTRO
"E num é que xandão calou até o time da Alemanha. Tempos sombrios.
#Politica #CopaDoMundo2022 #BrasilNaCopa https://t.co/w8j0gC9ilx";0.75769174;0.20708063;0.035227664;NEGATIVO
"Quem perde tempo é relógio quebrado! Voa @richarlison97 ,voa!
#OExaVem
#FIFAWorldCup 
#BrasilNaCopa https://t.co/t7nglILoGf";0.3197455;0.5796619;0.10059258;NEUTRO
"O voo do pombo abrindo caminho pro Hexa! Golaço do Richarlison, enquanto o Neymar fica enrolado contra a Sérvia 

#FIFAWorldCup #BrasilNaCopa #WorldcupQatar2022 https://t.co/9QWeqZflDA";0.09302264;0.42646593;0.48051143;POSITIVO
"Algumas pessoas deixaram de gostar do Neymar depois do posicionamento político dele. Você ainda torce pelo sucesso dele?👇🏻🇧🇷
.
.
.
#neymar #copadomundo2022 #posicionamento #apoio #torcidabrasil #selecaobrasileira #brasilnokoo #brasilnacopa https://t.co/fjqGB4dkL9";0.5563159;0.36102057;0.08266351;NEGATIVO
"Difícil torcer pro #BrasilNaCopa  quando o #Brasil está politicamente um #desastre 

Como diz o Enéias quando o povo perceber que a #Politica é mais importante que a #FIFAWorldCup será tarde de mais.";0.91338515;0.076225206;0.010389587;NEGATIVO
Go Catar 🇶🇦🇶🇦🇶🇦🇶🇦🇶🇦🇶🇦 #FIFAWorldCup #FIFAWorldCup2022 #WorldCup2022 #WorldCup2022 #Brasil #ฟุตบอลโลก2022 #Servia #CopadoMundo #BrasilNaCopa #FIFAWorldCup #CopaDoMundo2022 #Qatar2022 #WorldCup2022 #WorldCup #WorldcupQatar2022;0.13263698;0.7248911;0.14247188;NEUTRO
"#FIFAWorldCup 
#QatarWorldCup2022 
#BrasilNaCopa 
#BORUTO https://t.co/NsB5OColMQ";0.060268477;0.8741095;0.065622024;NEUTRO
"Quer um 9 bolado? 
@Pedro9oficial 

#BrasilNaCopa  
#CopaDoMundo2022 https://t.co/4jb8bUnSn6";0.08238088;0.85409755;0.063521646;NEUTRO
Só quem acordou feliz com #BrasilNaCopa hj bom dia!!!! https://t.co/jAsllmxuvI;0.015185552;0.12955724;0.8552572;POSITIVO
"Bora Brasil 🇧🇷🇧🇷🇧🇷🇧🇷
Em algum lugar do #Brasil, a galera está animada pelo Hexa, ou seria Eqiça #FIFAWorldCup #WorldcupQatar2022 #Brazil #RUMOAOHEXA #BrasilNaCopa #vinijr #Neymar https://t.co/ff7bMGphmZ";0.07085448;0.7074334;0.22171214;NEUTRO
"Concordo completamente com as palavras do Felipe Luiz tudo que ele falou eu assino embaixo!

#Ge #BrasilNaCopa #BrunoDiasPará https://t.co/rBhRw89i81";0.050558235;0.53893924;0.41050252;NEUTRO
Bom Dia, POMBINHOOOS!!!💚💛💙 #CopaDoMundo2022 #BrasilNaCopa #pombo #Richarlison https://t.co/6M2ZB6piDe;0.0250471;0.2877372;0.68721575;POSITIVO
#BrasilnaCopa #Qata https://t.co/oqu5asFAo1;0.08331097;0.852419;0.064269945;NEUTRO
"Bom diaaaa🇧🇷🟢🟡
#BrasilNaCopa #Brasil #FIFAWorldCup";0.03241541;0.31164247;0.65594214;POSITIVO
Ontem nó jogo #ForaLula #ForaLulaLadrao #ForaAlexandredeMoraes #BrasilNaCopa #BrasilNasRuas https://t.co/FQA1XlPAwP;0.26268426;0.57294905;0.16436675;NEUTRO
"Gol de anime

#BrasilNaCopa #FIFAWorldCup https://t.co/7KW9QRLoG1";0.07609362;0.5393645;0.38454187;NEUTRO
The Show continues…#FIFAWorldCupQatar2022 #Brasil #BrasilNaCopa #boysfrombrazil #BrazilvsSerbia #BrazilSerbia https://t.co/AaIwu7h4Ay;0.06328157;0.76890165;0.16781679;NEUTRO
"Queria ter postado ontem.
CHUTE DE VOLEIO DO PONBO! *Pruuuuu!*
@richarlison97 O herói do mangá Brasil
#Brasil #BrasilNaCopa #brasilxservia https://t.co/Sozfb0xtoV";0.10778524;0.2180835;0.6741313;POSITIVO
"Estamos na rua pra gritar em união! Esse é o recado! 
Em São José dos Campos "" A copa agente vê depois!!!"" 
#BrasilNasRuas 
#BrasilNaCopa 
#BrazilWasStolem 
#BrazilianSping https://t.co/iZZPqQ5bRv";0.04791967;0.58666843;0.36541188;NEUTRO
O #Brasil precisa de pessoas assim 🙅‍♀️❤️🇧🇷❤️⚖️ #BrasilNaCopa #WorldcupQatar2022 https://t.co/IaGuNVUGLz;0.15550083;0.51572675;0.3287725;NEUTRO
"BOOOM DIA FAMÍLIA!!!!! 
VAMOS BUSCAR MAIS UMA ODD LINDA HOJE .

#BET365 
#BrasilNaCopa";0.01666023;0.13554461;0.8477951;POSITIVO
"Meu novo orgulho, usar essa blusa .
#BrasilNaCopa #Brazil #morenagostosa #onlyfans #morenatropicana #FIFAWorldCup https://t.co/tmKMOCth1x";0.053772103;0.16270368;0.7835242;POSITIVO
"Viu a nova atualização do WhatsApp beta?

 #avatar #SDV #BrasilNaCopa #meninoney https://t.co/oavjR94h44";0.026240062;0.880158;0.093601905;NEUTRO
Mood:  #BrasilNaCopa 🇧🇷 https://t.co/EZNV91ou2S;0.0336244;0.84098005;0.12539546;NEUTRO
"Aquela sexta-feira com gostinho especial de vitória!

Fazia tempo que eu não via o #BrasilNaCopa tão bem e com o futebol tão envolvente.

Bora Brasil, PORRA!

#WorldcupQatar2022 #WorldCup2022 #SelecaoBrasileira https://t.co/1YXVw6tPzO";0.022796798;0.07335022;0.903853;POSITIVO
"@TerraBrasilnot Ele vai dizer que foi um amigo dele, ministro choram emocionados, mandam prender mais um conservador e o exército ainda continua a pintar guias 
#BrasilNaCopa 
#BrasilUrgente #ExercitoBrasileiro";0.90015495;0.086911775;0.012933225;NEGATIVO
"Lula ignora Argentina e cita três times que podem “atrapalhar” Brasil na Copa do Mundo.

By @diariodegoias

👉 https://t.co/i9Mcfiu9p9

#Brasil #CopadoMundo #CopadoCatar #Copa2022 #CopadoQatar #Lula #BrasilnaCopa https://t.co/zjwFes9I8o";0.24456389;0.64805806;0.107378036;NEUTRO
Eae @newscolina já passou o #neyday e o #BrasilNaCopa, cadê as notícias do no querido @VascodaGama;0.16771123;0.7747629;0.05752572;NEUTRO
Gol impresso, fechar rodovia pra mudar placar, jogador que não fez nada, caiu e saiu chorando... Que legal a forma que o brasileiro tem de ridicularizar ideias mirabolantes e deixar patriotário falando sozinho! #BrasilNaCopa #BrasilNasRuas;0.70259005;0.16202442;0.13538557;NEGATIVO
"Meme vencedor do jogo....🇧🇷⚽
Pois é assim que o cabeça de ovo se considera... O dono de tudo...
SÓ QUE NÃO É!!!!

#CopaDoMundo2022 ⚽🇧🇷 #WorldcupQatar2022 🇧🇷⚽ #QatarWorldCup ⚽🇧🇷 #QatarWorldCup2022 🇧🇷⚽
#BrasilNaCopa 🇧🇷 #BrasilNasRuas  #brasilwasstollen 🚩 #WorldCup2022 https://t.co/JQpt7VAgGN";0.13673098;0.49807778;0.3651913;NEUTRO
"Bora Brasil
Hexa
Vai Brasil
Pombo
Neymar
Richarlison
#FIFAWorldCup
#BrasilNaCopa
#CopaDoMundoFIFA
#RUMOAOHEXA
#WorldcupQatar2022 https://t.co/uHi9skZVS5";0.08430391;0.7032176;0.21247847;NEUTRO
"#BrasilNaCopa Coisas de #santistas 2002 o Diego machucou-se no 2°jogo da final do brasileiro daquele ano; um tal de 8 pedalas bateu no peito e chamou a responsa.
Deus queira que não seja nada c/ o @neymarjr mas se precisar tem outro santista voando  no  banco de reservas né. ⚡😜";0.74318206;0.21905681;0.03776114;NEGATIVO
Robertinho geme fino entrou em clima de copa #BrasilNaCopa #Brasil https://t.co/NkelCkAEy8;0.19336146;0.4899188;0.31671974;NEUTRO
#BrasilNaCopa https://t.co/q30wnJMqEv https://t.co/9QeyixTaoV;0.06745731;0.87040997;0.062132757;NEUTRO
"Lenda que criou duas assistências fenomenais! 👏🏼
E talvez só não fez gol porque infelizmente escorregou.
Torço para que brilhe muito nessa copa! 👏🏼⚽️🇧🇷💚💛
#BrasilNaCopa 
#WorldcupQatar2022 https://t.co/Yy3M8pkttl";0.218305;0.22040026;0.56129473;POSITIVO
#FIFAWorldCup #FIFAWorldCupGR  #Neymar #BrasilNaCopa #vemhexa #Richarlison #RichardHeartWasRight https://t.co/KkXgSDwLSf;0.09913194;0.66149974;0.23936826;NEUTRO
E o @BarrosB58035761 que desenhou o Pru 🐦🤌🏼 @richarlison97 🇧🇷🇧🇷🇧🇷 #FIFAWorldCup #WorldcupQatar2022 #BrasilNaCopa #Brasil https://t.co/Lh3Vz0wzUG;0.10806465;0.7271165;0.1648188;NEUTRO
#BrasilNaCopa #Richarlison  primeiro dia desse segundo semestre sem nem uma tag do inominável na mina TL! Obrigado Brasil! Obrigado Copa!;0.0962301;0.23578045;0.66798943;POSITIVO
"Deu sorte cantar @PauloRicardo antes do jogo do Brasil. Vou repetir na próxima partida ⚽️
#FIFAWorldCup #RicharlisonDay #BrasilNaCopa #golaço https://t.co/rjWmS0kajj";0.018660009;0.109097086;0.8722429;POSITIVO
"Richarlison arrebenta como ser humano e atleta. Nunca duvidei que esta Copa pode ser ""ele"" e  dele.  #FIFAWorldCup #WorldcupQatar2022 #Brazil #Richarlison #BrasilNaCopa";0.07767846;0.13969135;0.7826302;POSITIVO
É disso que o #Brazil precisa #BrasilNaCopa #WorldcupQatar2022 https://t.co/r0cck7u1Dp;0.16113134;0.6671643;0.1717043;NEUTRO
"Odeio viver no Brasil primeira oportunidade TCHAU, ADEUS

Dia do jogo: Brasil ganha MDSSSS QUE ORGULHO DO MEU PAÍS AMO A SELEÇÃO BRASILEIRA🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷💚💛💙💚💛💙💚💛💙
#FIFAWorldCup #Brazil #BrasilNaCopa #CopaDoMundo2022 #Brasil";0.29995707;0.2121955;0.4878474;POSITIVO
Já é!!!! #BrasilNaCopa https://t.co/wdnE2hvgIT;0.037092727;0.74164575;0.22126164;NEUTRO
#FIFAWorldCup #WorldcupQatar2022 #Qatar2022 #CopaDoMundo2022 #CopaDoMundoFIFA #Neymar #SelecaoBrasileira #BrasilNaCopa;0.102669306;0.77971387;0.11761683;NEUTRO
"A @EstrelaBet não quer me pagar😭😭😭😭, me ajudem plssss

#CopaDoMundo2022 #aposta #fypシ #Brasil #BrasilNaCopa https://t.co/oFR11zfdpv";0.7941195;0.18576267;0.020117838;NEGATIVO
#BrasilNaCopa é #BrasilNasRuas vibrando a cada jogada! Que venha o hexa para coroar o desempenho de nosso maior ídolo em campo: o pombo @richarlison97!;0.016087994;0.11570609;0.8682059;POSITIVO
"@diwojtowicz @norisregina @fernandinhaleao E você ?
Já pagou os seus impostos ??
ou está procurando um emprego na equipe contábil do @neymarjr  ???
👌🥛🔫🤣🤣🤣🤣🤣🤣🤣🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🔥🔥🔥🔥🔥🔥

#BrasilNaCopa";0.14717211;0.68864095;0.16418695;NEUTRO
#borabrasil #vemhexa #brasilcampeao #BrasilNaCopa https://t.co/T1aSs9vqC2;0.10526644;0.75986713;0.13486645;NEUTRO
